time,tweet
3/5/2019 3:23,#ThatsHard ❤️ https://t.co/66JnBk37s8
3/5/2019 3:19,THATS HARD! ❤️ https://t.co/kFkFepYAOu
3/3/2019 2:33,💰Ol Slick Boyz! Please Me Video Out Now! Preeshiate u Pyyymmps 🥂 Here’s to many more! https://t.co/Cn34npNCOJ
3/2/2019 19:37,“Now its the weekend OOOOHH” 😂 hahaha! don’t hurt em with the oooohhh!!! https://t.co/K2D0p5rDcR
3/2/2019 5:13,🙏Thank you guys for making The #PleaseMeVideo the number 1 trending video on YouTube https://t.co/yFfTcgDVE3 Imma go celebrate! 🥂 🌮 🌮 😎
3/2/2019 4:51,😂 we goin straight to DVD! https://t.co/uEFIMpKm2h
3/2/2019 4:23,😳That escalated quickly https://t.co/3rIwtNf0Cg
3/2/2019 4:21,Amazing https://t.co/BFKQ2fhGMt
3/2/2019 4:18,😂😂😂 https://t.co/iPKDr6LySQ
3/2/2019 4:13,RT @takescares: @BrunoMars Please shave
3/2/2019 4:11,RT @BrunoMarsDaBest: @BrunoMars You’re searching for a lost taco
3/2/2019 4:10,RT @aridorsognaa: @BrunoMars money
3/2/2019 4:09,What’s the plot tho? https://t.co/eh6m7hHB6Z
3/2/2019 3:47,😂 🙌This is cool bro. Thank you. https://t.co/FHB2sSZ3BH
3/2/2019 3:04,#PleaseMeVideo https://t.co/yFfTcgDVE3
3/2/2019 2:36,FREEZING! But you killed it! Everyone show your love to @iamcardib and tell her how great she is in this video!!… https://t.co/HjVjLK0GN7
3/1/2019 16:40,#PleaseMeVideo Out Now!!! https://t.co/UA6RzUpAIV
2/27/2019 20:41,"Dear Indonesia, I gave u the wholesome hits “Nothin On You,” “Just The Way You Are,” &amp; “Treasure.” Don’t lump me in with that sexual deviant"
2/27/2019 20:33,“I’m in love with the shape of you?” Really @edsheeran ? You monster! &amp; don’t even get me started on “Thinking Out Loud.” Have u no shame?
2/27/2019 20:24,"WTF! I was poppin in Indonesia! Then here comes @edsheeran with his sick, perverted lyrics, gettin us all pinched!… https://t.co/XRVnnwEyJ1"
2/26/2019 2:51,This Friday! Please Me Video! https://t.co/WyurVcnO91
2/21/2019 19:50,Same 😎 https://t.co/bq41jWAGIE
2/20/2019 21:40,😂 thegiftd1 “LETS GO!” 🙌 https://t.co/isz5AYrTba
2/20/2019 13:39,"Get off your phone and go be great, and I’ll do the same. https://t.co/1sc2ps5Int"
2/20/2019 13:34,Nah https://t.co/dOEKaLjova
2/20/2019 13:32,😂 https://t.co/NuYi85egks
2/20/2019 13:28,Cardi B and I just released a song that’s whoopin ass called Please Me. You can find it at your nearest record stor… https://t.co/RtrVuDX6ju
2/20/2019 13:25,Just wanted to drop this Love off on your time line is all. No song... no album.  Just pure sensitive thug emotion.… https://t.co/zhUv4cVvYf
2/20/2019 13:11,LOVE &gt;&gt;&gt; EVERYTHING
2/19/2019 2:46,RT @AtlanticRecords: .@iamcardib x @BrunoMars' new song #PleaseMe is out now 💥 Listen here: https://t.co/IiaOjABcR4 https://t.co/h8510oekhW
2/16/2019 22:25,RT @pearls_andgold: He felt that lol @iamcardib @BrunoMars 🔥 https://t.co/1zCM97p5cE
2/15/2019 20:34,SHIT! 🔥 https://t.co/dEcBsMhXsk
2/15/2019 19:06,#PleaseMe
2/15/2019 18:52,🎶 Girl I ain’t one for beggin.. but now you got me beggin 🎶 y’all heard it yet? 😒You ain’t hear it yet. I’m outta here.
2/14/2019 1:43,NEW SONG THIS FRIDAY! https://t.co/OS3Xtf0rnn
2/4/2019 0:49,Last night in Atlanta. https://t.co/kAma0KO5eF
1/24/2019 21:04,Sending love to you all! Thank you! https://t.co/Q1zDzXlZjS
1/12/2019 20:40,Step into 2019 like 😎 🍾 Congrats @gucci1017 and @KodakBlack1k Thank you all! #WakeUpInTheSky https://t.co/1Ozm3Tp2mj
1/8/2019 21:19,But how did I know her eyes were open? 😒 https://t.co/5hBnCudSvn
1/6/2019 21:08,LETS GOOOO!!! https://t.co/ZjzydlmH3o
1/4/2019 18:47,Justice for #JazmineBarnes and her family. https://t.co/nlnso16xz6
1/1/2019 1:29,"My boys continue to show the world what time it is, and a band that sings together blings together! ✨✨ #AudeMARS… https://t.co/BxkKjGjW7r"
12/25/2018 18:48,Hey for real.... Merry Christmas Hooligans!
12/7/2018 17:41,Congrats @gucci1017 ! 🍾 https://t.co/in6Gm93Jiw
12/4/2018 20:00,Thank you to everyone for making Wake Up In The Sky #1 at Rhythmic Radio and #1 at Urban Radio. @gucci1017… https://t.co/V1IuNvUH7W
11/29/2018 17:24,Morning inspiration! 🙌 https://t.co/TLBACD0zuy
11/26/2018 20:28,Thank you @SoulTrain! Congrats on another awesome show!!
11/23/2018 0:49,HAPPY THANKSGIVING! https://t.co/WGsDcFai4Y
11/23/2018 0:33,HAPPY THANKSGIVING !🥂
11/18/2018 22:51,YOU’LL SEE 😎
11/18/2018 22:48,🤐 https://t.co/kqYcP5dxVM
11/18/2018 22:39,You ever heard the expression the cheese is better left unharmed? No? Neither have I. You’ll see 😎 https://t.co/3CthDmUeFF
11/18/2018 22:36,Feels like I ain’t even scratch the surface yet. You’ll see. 😎 https://t.co/6jKYztp3yx
11/18/2018 22:24,😩 https://t.co/m36n6K5MSc
11/18/2018 22:11,. @mrtalkbox Christmas album! 🙌What a beast!!!
11/18/2018 20:57,MOOD ✨ Wishing all of you a Happy Sunday. #wakeupinthesky https://t.co/SZ72FanhWf
11/17/2018 21:57,🙏😯🤪🙌 #Hooligans https://t.co/XIWh1b7yXR
